quest_id,answer_predict
0,"Album có lượng đơn đặt trước lớn nhất của nhóm nhạc NCT là ""Universe""."
1,Chính phủ đã có những gói hỗ trợ khác nhau trong thời kỳ đại dịch COVID-19.
2,"Ngày 5 tháng 5 âm lịch tại Việt Nam có những tên gọi như ""Tết Đoan ngọ"", ""Tết giết sâu bọ"""
3,"Mục đích phát triển của Shopee là trở thành một sàn thương mại điện tử phát triển chủ yếu trên thiết bị di động, hoạt động như một mạng xã hội phục vụ nhu cầu mua bán mọi lúc, mọi nơi cho người dùng. Shopee tích hợp hệ thống vận hành, giao nhận và hỗ trợ về khâu thanh toán, trở thành bên trung gian giúp việc mua sắm trực tuyến dễ dàng và an toàn hơn cho cả bên mua lẫn bên bán."
4,"Bảo tàng Tôn Đức Thắng đặt tại Quận 1, thành phố Hồ Chí Minh."
5,"Tàu Ever Given đã gặp sự cố nghiêm trọng trong hệ thống điều khiển khiến mũi tàu đâm vào bãi cát ở bờ Đông, còn đuôi tàu thì mắc kẹt trong cát sỏi ở bờ Tây. Con tàu gần như nằm chắn ngang kênh đào ở đoạn dưới hồ Great Bitter. Sự cố này đã làm tắc nghẽn tuyến đường hàng hải quan trọng bậc nhất thế giới, chiếm 12% tổng lưu lượng giao thông hàng hải toàn cầu bị đình trệ trong nhiều ngày."
6,"Quân hàm Đại tướng chỉ được phong cho các sĩ quan cấp cao nắm giữ các chức vụ: Bộ trưởng Bộ Quốc phòng, Tổng Tham mưu trưởng và Chủ nhiệm Tổng cục Chính trị."
7,"Theo thông tin được cung cấp trong đoạn văn, có tổng cộng 888 đô thị ở Việt Nam. Các đô thị này được chia thành sáu loại, bao gồm đô thị loại đặc biệt, đô thị loại I, đô thị loại II, đô thị loại III, đô thị loại IV và đô thị loại V."
8,"Nhà thờ chính tòa Đức Bà Sài Gòn đã trải qua ba cuộc trùng tu. Lần đầu tiên là việc xây dựng thêm phần mái kẽm cho hai tháp chuông vào năm 1895. Lần thứ hai vào năm 1903, mặt tiền nhà thờ được tôn tạo, xây thêm vườn hoa và tượng đài Bá Đa Lộc. Lần thứ ba là lần dựng tượng Đức Bà Hòa Bình vào năm 1959."
9,Trường Y Dược Hà Nội tổ chức kỳ thi nội trú đầu tiên vào năm 1938.
10,"Trong chuyến thăm Bồ Đào Nha, Võ Thị Ánh Xuân dẫn đầu đoàn đại biểu Việt Nam tham dự và phát biểu tại Hội nghị Thượng đỉnh Phụ nữ Toàn cầu năm 2021."
11,Giải vô địch bóng đá thế giới 2014 được tổ chức tại Sân vận động Maracanã ở Rio de Janeiro ở Brazil.
